idx,true,length,bow,llm_only,singh,webrag
0,Normal,Fraud,Normal,Normal,Normal,Normal
1,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
2,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
3,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
4,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
5,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
6,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
7,Normal,Fraud,Normal,Normal,Normal,Fraud
8,Normal,Fraud,Normal,Fraud,Normal,Normal
9,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
10,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
11,Normal,Fraud,Normal,Fraud,Normal,Fraud
12,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
13,Normal,Fraud,Normal,Normal,Fraud,Fraud
14,Normal,Fraud,Normal,Normal,Normal,Normal
15,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
16,Normal,Fraud,Normal,Fraud,Fraud,Normal
17,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
18,Normal,Fraud,Normal,Normal,Fraud,Normal
19,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
20,Normal,Fraud,Normal,Normal,Fraud,Normal
21,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
22,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
23,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
24,Fraud,Fraud,Fraud,Fraud,Normal,Normal
25,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
26,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
27,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
28,Normal,Fraud,Normal,Normal,Normal,Fraud
29,Normal,Fraud,Normal,Fraud,Normal,Normal
30,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
31,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
32,Normal,Fraud,Normal,Normal,Normal,Normal
33,Normal,Fraud,Normal,Fraud,Normal,Normal
34,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
35,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
36,Normal,Fraud,Normal,Normal,Normal,Normal
37,Normal,Fraud,Normal,Normal,Normal,Normal
38,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
39,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
40,Normal,Fraud,Normal,Normal,Normal,Normal
41,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
42,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
43,Normal,Fraud,Normal,Normal,Normal,Normal
44,Normal,Fraud,Normal,Normal,Normal,Normal
45,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
46,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
47,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
48,Normal,Fraud,Normal,Normal,Normal,Normal
49,Normal,Fraud,Normal,Normal,Normal,Normal
50,Normal,Fraud,Normal,Normal,Normal,Normal
51,Normal,Fraud,Normal,Normal,Normal,Normal
52,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
53,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
54,Normal,Fraud,Normal,Normal,Fraud,Normal
55,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
56,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
57,Fraud,Fraud,Fraud,Normal,Normal,Fraud
58,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
59,Normal,Fraud,Normal,Fraud,Normal,Normal
60,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
61,Normal,Fraud,Normal,Normal,Normal,Normal
62,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
63,Normal,Fraud,Normal,Normal,Normal,Normal
64,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
65,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
66,Normal,Fraud,Normal,Normal,Normal,Normal
67,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
68,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
69,Normal,Fraud,Normal,Normal,Normal,Normal
70,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
71,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
72,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
73,Normal,Fraud,Normal,Normal,Normal,Normal
74,Normal,Fraud,Normal,Normal,Normal,Normal
