idx,true,length,bow,llm_only,singh,webrag
0,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
1,Fraud,Fraud,Normal,Fraud,Fraud,Normal
2,Normal,Normal,Normal,Normal,Normal,Normal
3,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
4,Normal,Normal,Normal,Normal,Normal,Normal
5,Normal,Normal,Normal,Normal,Normal,Normal
6,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
7,Normal,Normal,Normal,Fraud,Fraud,Fraud
8,Normal,Normal,Normal,Normal,Normal,Normal
9,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
10,Normal,Normal,Normal,Normal,Normal,Normal
11,Normal,Normal,Normal,Normal,Normal,Normal
12,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
13,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
14,Normal,Normal,Normal,Fraud,Fraud,Fraud
15,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
16,Normal,Normal,Normal,Normal,Normal,Normal
17,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
18,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
19,Normal,Normal,Normal,Normal,Normal,Fraud
20,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
21,Normal,Fraud,Normal,Fraud,Fraud,Normal
22,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
23,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
24,Normal,Fraud,Normal,Fraud,Normal,Normal
25,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
26,Normal,Normal,Normal,Normal,Normal,Normal
27,Normal,Normal,Normal,Fraud,Normal,Fraud
28,Normal,Normal,Normal,Normal,Normal,Normal
29,Normal,Fraud,Normal,Normal,Normal,Fraud
30,Normal,Normal,Normal,Normal,Fraud,Normal
31,Normal,Normal,Normal,Normal,Normal,Normal
32,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
33,Normal,Normal,Normal,Normal,Normal,Fraud
34,Normal,Normal,Normal,Normal,Normal,Normal
35,Normal,Normal,Normal,Normal,Normal,Normal
36,Normal,Normal,Normal,Normal,Normal,Normal
37,Normal,Normal,Normal,Normal,Normal,Normal
38,Normal,Normal,Normal,Normal,Fraud,Normal
39,Normal,Normal,Normal,Normal,Normal,Normal
40,Normal,Normal,Normal,Normal,Normal,Normal
41,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
42,Normal,Fraud,Normal,Normal,Normal,Normal
43,Normal,Normal,Normal,Normal,Normal,Normal
44,Normal,Normal,Normal,Normal,Normal,Normal
45,Normal,Normal,Normal,Normal,Normal,Normal
46,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
47,Normal,Normal,Normal,Normal,Normal,Normal
48,Normal,Normal,Normal,Normal,Normal,Normal
49,Normal,Normal,Normal,Normal,Normal,Normal
50,Normal,Normal,Normal,Normal,Normal,Normal
51,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
52,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
53,Normal,Normal,Normal,Normal,Normal,Normal
54,Normal,Normal,Normal,Normal,Normal,Normal
55,Normal,Normal,Normal,Normal,Normal,Normal
56,Normal,Normal,Normal,Normal,Normal,Normal
57,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
58,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
59,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
